	prompt	prediction	gold_gold_elin	gold_gold_lena	gold_gold_oscar	gold_gold_agg
302		NA	ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG
303		ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG
304		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE
305		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE
306		NA		ACTIVE_POS_OTHER		
307		PASSIVE				
308		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	PASSIVE		
309		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE
310		ACTIVE_POS_CARING	ACTIVE_POS_CARING	ACTIVE_POS_CARING	ACTIVE_POS_CARING	ACTIVE_POS_CARING
311		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE
312		NA	PASSIVE	PASSIVE	PASSIVE	PASSIVE
313		PASSIVE	ACTIVE_POS_OTHER	PASSIVE	PASSIVE	PASSIVE
314		PASSIVE		PASSIVE	PASSIVE	PASSIVE
315		NA		PASSIVE		
316		NA			PASSIVE	
317		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER
318		ACTIVE_POS_OTHER	ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG
319		PASSIVE			PASSIVE	
320		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE
321		ACTIVE_NEG	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER
322		NA				
323		PASSIVE	ACTIVE_NEG	ACTIVE_NEG	PASSIVE	ACTIVE_NEG
324		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	PASSIVE	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER
325		ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG
326		NA				
327		ACTIVE_POS_CARING	PASSIVE	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER
328		ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG
329		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE
330		ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG
331		ACTIVE_POS_OTHER	PASSIVE	ACTIVE_POS_OTHER	PASSIVE	PASSIVE
332		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER
333		NA	PASSIVE	PASSIVE	PASSIVE	PASSIVE
334		PASSIVE	ACTIVE_NEG	PASSIVE	PASSIVE	PASSIVE
335		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE
336		PASSIVE		ACTIVE_NEG	PASSIVE	ACTIVE_NEG
337		ACTIVE_NEG		ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG
338		ACTIVE_POS_CARING	ACTIVE_NEG	ACTIVE_POS_OTHER	ACTIVE_POS_CARING	ACTIVE_POS_CARING
339		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE
340		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE
341		PASSIVE	PASSIVE	ACTIVE_NEG	PASSIVE	PASSIVE
342		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE
343		PASSIVE		PASSIVE	PASSIVE	PASSIVE
344		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE
345		ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG
346		NA				
347		PASSIVE		PASSIVE	PASSIVE	PASSIVE
348		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_CARING	ACTIVE_POS_CARING	ACTIVE_POS_CARING
349		ACTIVE_POS_OTHER		ACTIVE_POS_OTHER		
