	prompt	prediction	gold_elin	gold_lena	gold_oscar	gold_agg
289		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE
290		PASSIVE	NA	PASSIVE	PASSIVE	PASSIVE
291		PASSIVE	NA	PASSIVE	PASSIVE	PASSIVE
292		NA	NA	PASSIVE	NA	NA
293		PASSIVE	PASSIVE	PASSIVE	NA	PASSIVE
294		ACTIVE_POS_CARING	ACTIVE_POS_OTHER	NA	NA	NA
295		ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG
296		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE
297		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER
298		ACTIVE_POS_CHALLENGING	ACTIVE_POS_OTHER	NA	ACTIVE_POS_CHALLENGING	ACTIVE_POS_CHALLENGING
299		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	PASSIVE	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER
300		PASSIVE	ACTIVE_POS_OTHER	PASSIVE	PASSIVE	PASSIVE
301		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER
302		NA	ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG
303		ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG
304		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE
305		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE
306		ACTIVE_NEG	NA	ACTIVE_POS_OTHER	NA	NA
307		PASSIVE	NA	NA	NA	NA
308		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	PASSIVE	NA	NA
309		ACTIVE_POS_OTHER	PASSIVE	PASSIVE	PASSIVE	PASSIVE
310		ACTIVE_POS_CARING	ACTIVE_POS_CARING	ACTIVE_POS_CARING	ACTIVE_POS_CARING	ACTIVE_POS_CARING
311		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE
312		NA	PASSIVE	PASSIVE	PASSIVE	PASSIVE
313		PASSIVE	ACTIVE_POS_OTHER	PASSIVE	PASSIVE	PASSIVE
314		PASSIVE	NA	PASSIVE	PASSIVE	PASSIVE
315		NA	NA	PASSIVE	NA	NA
316		PASSIVE	NA	NA	PASSIVE	NA
317		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER
318		ACTIVE_POS_OTHER	ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG
319		PASSIVE	NA	NA	PASSIVE	NA
320		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE
321		ACTIVE_NEG	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER
322		NA	NA	NA	NA	NA
323		PASSIVE	ACTIVE_NEG	ACTIVE_NEG	PASSIVE	ACTIVE_NEG
324		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	PASSIVE	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER
325		ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG
326		NA	NA	NA	NA	NA
327		ACTIVE_POS_CARING	PASSIVE	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER
328		ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG
329		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE
330		ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG
331		ACTIVE_POS_OTHER	PASSIVE	ACTIVE_POS_OTHER	PASSIVE	PASSIVE
332		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER
333		NA	PASSIVE	PASSIVE	PASSIVE	PASSIVE
334		PASSIVE	ACTIVE_NEG	PASSIVE	PASSIVE	PASSIVE
335		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE
336		PASSIVE	NA	ACTIVE_NEG	PASSIVE	ACTIVE_NEG
337		ACTIVE_NEG	NA	ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG
338		ACTIVE_POS_CARING	ACTIVE_NEG	ACTIVE_POS_OTHER	ACTIVE_POS_CARING	ACTIVE_POS_CARING
339		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE
340		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE
341		PASSIVE	PASSIVE	ACTIVE_NEG	PASSIVE	PASSIVE
342		NA	PASSIVE	PASSIVE	PASSIVE	PASSIVE
343		PASSIVE	NA	PASSIVE	PASSIVE	PASSIVE
344		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE
345		ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG
346		NA	NA	NA	NA	NA
347		PASSIVE	NA	PASSIVE	PASSIVE	PASSIVE
348		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_CARING	ACTIVE_POS_CARING	ACTIVE_POS_CARING
349		ACTIVE_POS_OTHER	NA	ACTIVE_POS_OTHER	NA	NA
